AirlineName,AirportDest,AirportOrig,ArrTime,DepTime,FlightDuration,Price,StopsCount
LATAM Airlines Group,mcz,bsb,2020/01/20-02:05,2020/01/19-18:45,7:20,1001.0,1
GOL Linhas Aereas S.A.,mcz,bsb,2020/01/19-13:05,2020/01/19-06:55,6:10,1369.0,1
GOL Linhas Aereas S.A.,mcz,bsb,2020/01/20-00:05,2020/01/19-19:05,5:00,1231.0,1
GOL Linhas Aereas S.A.,mcz,bsb,2020/01/20-01:35,2020/01/19-19:15,6:20,1369.0,1
Azul,mcz,bsb,2020/01/20-00:50,2020/01/19-19:30,5:20,262.0,1
Azul,mcz,bsb,2020/01/20-01:55,2020/01/19-19:50,6:5,485.0,1
LATAM Airlines Group,mcz,bsb,2020/01/20-09:55,2020/01/19-20:00,13:55,1350.0,2
Azul,mcz,bsb,2020/01/20-01:55,2020/01/19-20:05,5:50,485.0,1
LATAM Airlines Group,mcz,bsb,2020/01/20-13:55,2020/01/19-20:10,17:45,1670.0,2
LATAM Airlines Group,mcz,bsb,2020/01/20-19:15,2020/01/19-20:15,23:00,5225.0,2
LATAM Airlines Group,mcz,bsb,2020/01/19-19:15,2020/01/19-08:25,10:50,2450.0,2
LATAM Airlines Group,mcz,bsb,2020/01/19-19:15,2020/01/19-08:30,10:45,2450.0,2
GOL Linhas Aereas S.A.,mcz,bsb,2020/01/20-13:05,2020/01/19-20:30,16:35,661.0,1
LATAM Airlines Group,mcz,bsb,2020/01/20-09:55,2020/01/19-20:35,13:20,1350.0,2
LATAM Airlines Group,mcz,bsb,2020/01/19-11:00,2020/01/19-08:40,2:20,726.0,0
LATAM Airlines Group,mcz,bsb,2020/01/19-19:15,2020/01/19-08:50,10:25,1167.0,2
LATAM Airlines Group,mcz,bsb,2020/01/19-19:15,2020/01/19-09:05,10:10,1001.0,2
LATAM Airlines Group,mcz,bsb,2020/01/20-13:55,2020/01/19-21:15,16:40,2450.0,2
GOL Linhas Aereas S.A.,mcz,bsb,2020/01/19-22:45,2020/01/19-09:25,13:20,1369.0,1
LATAM Airlines Group,mcz,bsb,2020/01/19-18:00,2020/01/19-09:25,8:35,1001.0,1
GOL Linhas Aereas S.A.,mcz,bsb,2020/01/19-15:15,2020/01/19-09:35,5:40,2011.0,1
Azul,mcz,bsb,2020/01/20-15:40,2020/01/20-10:10,5:30,587.0,2
LATAM Airlines Group,mcz,bsb,2020/01/21-13:55,2020/01/20-22:50,15:5,1843.0,2
LATAM Airlines Group,mcz,bsb,2020/01/21-13:55,2020/01/20-22:55,15:00,2450.0,2
Azul,mcz,bsb,2020/01/20-17:40,2020/01/20-12:40,5:00,302.0,1
GOL Linhas Aereas S.A.,mcz,bsb,2020/01/20-16:00,2020/01/20-13:35,2:25,288.0,0
LATAM Airlines Group,mcz,bsb,2020/01/20-15:55,2020/01/20-13:35,2:20,1001.0,0
LATAM Airlines Group,mcz,bsb,2020/01/21-02:05,2020/01/20-15:00,11:5,2450.0,2
LATAM Airlines Group,mcz,bsb,2020/01/21-02:05,2020/01/20-15:55,10:10,2450.0,2
LATAM Airlines Group,mcz,bsb,2020/01/20-16:25,2020/01/20-04:20,12:5,2450.0,2
LATAM Airlines Group,mcz,bsb,2020/01/21-02:05,2020/01/20-17:00,9:5,2450.0,2
Azul,mcz,bsb,2020/01/20-13:55,2020/01/20-06:00,7:55,262.0,1
LATAM Airlines Group,mcz,bsb,2020/01/20-18:00,2020/01/20-06:00,12:00,2450.0,2
